iter	MAE
0	0.5919884621
1	0.5788072907
2	0.565949381
3	0.5536387712
4	0.5414786698
5	0.5296507003
6	0.5191608611
7	0.5085378374
8	0.4981604139
9	0.4884999298
10	0.478887324
11	0.4696818957
12	0.460932522
13	0.4523366073
14	0.4443717517
15	0.4365023853
16	0.4289785529
17	0.4216836487
18	0.4146136395
19	0.4079724941
20	0.4017579322
21	0.3955110836
22	0.3896759889
23	0.3839611696
24	0.378384314
25	0.3731762677
26	0.368241184
27	0.363452743
28	0.3587800687
29	0.354366092
30	0.3501577394
31	0.3463276862
32	0.3427766258
33	0.3389445842
34	0.3353702042
35	0.3317586556
36	0.3285511146
37	0.3254901636
38	0.3223593262
39	0.3195488389
40	0.3166247798
41	0.313875034
42	0.3114418724
43	0.3089165838
44	0.3064592589
45	0.3042188515
46	0.3018118808
47	0.2997011687
48	0.2974716326
49	0.2955008366
50	0.2935068212
51	0.2916473168
52	0.2897754985
53	0.2881015559
54	0.2864145558
55	0.2848735735
56	0.2832303084
57	0.2818051986
58	0.2804352685
59	0.279130128
60	0.2778203293
61	0.2765101795
62	0.2752707886
63	0.2740636211
64	0.2731230113
65	0.2721257241
66	0.2712853886
67	0.2703306971
68	0.2693497146
69	0.2684235835
70	0.2675130484
71	0.266752362
72	0.2659601471
73	0.2651605969
74	0.2643370587
75	0.2635358055
76	0.2628116389
77	0.2621190619
78	0.2614371413
79	0.2607377183
80	0.2601342289
81	0.2595931587
82	0.2590057136
83	0.2584395521
84	0.2579278531
85	0.2574224355
86	0.2569242863
87	0.2564953846
88	0.2560674296
89	0.2556002612
90	0.2551539849
91	0.2548162369
92	0.2544037858
93	0.2540247465
94	0.2536853462
95	0.2534072248
96	0.2530679797
97	0.2527321751
98	0.2524281461
99	0.2521515308
100	0.2518608956
101	0.2516028021
102	0.2513692434
103	0.2510824506
104	0.250827186
105	0.2504852058
106	0.2502281178
107	0.2500134201
108	0.2498087933
109	0.2495888207
110	0.2493627572
111	0.2491471206
112	0.2489353152
113	0.2487349046
114	0.2485437928
115	0.248309441
116	0.2480962222
117	0.2478755674
118	0.2477136501
119	0.2475202922
