iter	Passed	Remaining
0	10	10769
1	20	10292
2	31	10474
3	42	10574
4	53	10628
5	63	10491
6	73	10358
7	84	10521
8	96	10645
9	107	10616
10	119	10722
11	129	10665
12	139	10607
13	151	10662
14	162	10692
15	172	10630
16	183	10600
17	193	10577
18	204	10576
19	215	10577
20	226	10566
21	236	10517
22	248	10540
23	258	10520
24	269	10492
25	279	10480
26	289	10435
27	300	10430
28	310	10404
29	321	10389
30	332	10396
31	341	10342
32	352	10325
33	362	10291
34	371	10250
35	382	10231
36	392	10222
37	402	10195
38	414	10217
39	426	10231
40	435	10194
41	445	10162
42	455	10147
43	465	10121
44	477	10123
45	486	10095
46	497	10077
47	508	10087
48	518	10055
49	528	10043
50	538	10022
51	548	9995
52	558	9978
53	567	9938
54	577	9929
55	586	9891
56	596	9868
57	606	9848
58	614	9808
59	623	9769
60	631	9723
61	640	9689
62	648	9651
63	657	9611
64	665	9568
65	673	9534
66	681	9496
67	690	9460
68	698	9423
69	706	9385
70	714	9353
71	723	9330
72	732	9299
73	740	9270
74	748	9228
75	756	9197
76	765	9174
77	773	9148
78	781	9114
79	789	9079
80	797	9052
81	806	9024
82	814	8999
83	823	8974
84	831	8955
85	840	8932
86	848	8905
87	856	8879
88	865	8854
89	872	8819
90	880	8792
91	888	8764
92	897	8748
93	905	8729
94	913	8706
95	922	8683
96	931	8670
97	939	8642
98	947	8624
99	955	8599
100	965	8592
101	973	8568
102	981	8549
103	990	8529
104	998	8507
105	1007	8497
106	1015	8472
107	1023	8450
108	1031	8428
109	1039	8409
110	1047	8389
111	1055	8365
112	1062	8342
113	1071	8324
114	1079	8307
115	1087	8285
116	1095	8269
117	1103	8250
118	1112	8235
119	1119	8212
120	1128	8200
121	1136	8178
122	1143	8156
123	1151	8131
124	1159	8119
125	1167	8099
126	1175	8082
127	1183	8061
128	1192	8053
129	1200	8033
130	1210	8028
131	1217	8004
132	1228	8008
133	1235	7985
134	1243	7966
135	1251	7951
136	1260	7937
137	1268	7923
138	1277	7912
139	1285	7896
140	1293	7878
141	1302	7868
142	1311	7861
143	1319	7846
144	1328	7832
145	1336	7815
146	1344	7803
147	1352	7784
148	1361	7774
149	1381	7827
150	1413	7949
151	1430	7978
152	1439	7968
153	1454	7990
154	1462	7971
155	1469	7950
156	1476	7929
157	1485	7915
158	1492	7893
159	1500	7880
160	1509	7864
161	1517	7849
162	1524	7829
163	1533	7818
164	1542	7804
165	1550	7790
166	1558	7772
167	1565	7750
168	1572	7732
169	1579	7713
170	1588	7699
171	1596	7687
172	1605	7674
173	1612	7655
174	1621	7643
175	1629	7629
176	1636	7610
177	1644	7593
178	1652	7578
179	1660	7563
180	1667	7547
181	1675	7530
182	1683	7515
183	1690	7498
184	1699	7485
185	1705	7464
186	1714	7454
187	1722	7438
188	1729	7422
189	1736	7404
190	1744	7388
191	1752	7373
192	1759	7357
193	1768	7346
194	1776	7334
195	1785	7322
196	1792	7307
197	1800	7293
198	1808	7278
199	1816	7264
200	1823	7250
201	1830	7233
202	1838	7219
203	1847	7207
204	1854	7193
205	1863	7183
206	1872	7172
207	1880	7160
208	1889	7149
209	1898	7140
210	1905	7127
211	1914	7114
212	1922	7102
213	1930	7089
214	1938	7078
215	1946	7066
216	1954	7051
217	1962	7041
218	1970	7026
219	1978	7013
220	1985	6998
221	1994	6989
222	2003	6979
223	2011	6967
224	2019	6954
225	2027	6942
226	2035	6930
227	2044	6921
228	2052	6910
229	2060	6898
230	2069	6888
231	2078	6879
232	2086	6866
233	2094	6855
234	2102	6844
235	2111	6833
236	2118	6821
237	2126	6807
